Designator,Mid X,Mid Y,Rotation,Layer
C1,135.55,-98.275,45.0,top
C10,133.19,-108.99,270.0,top
C11,133.075,-98.17,90.0,top
C12,130.375,-95.295,90.0,top
C13,126.94,-82.53,180.0,top
C14,127.95,-88.3,180.0,top
C15,126.64,-110.95,270.0,top
C16,132.43,-111.5,90.0,top
C17,128.0,-93.7,180.0,top
C2,132.15,-108.98,270.0,top
C3,124.9,-104.58,180.0,top
C4,125.5,-99.75,180.0,top
C5,134.05,-98.5,90.0,top
C6,131.4,-95.3,90.0,top
C7,132.36,-94.56,90.0,top
C8,135.38,-99.925,0.0,top
C9,136.37,-104.33,0.0,top
J1,130.35,-76.35,180.0,top
J2,121.46,-99.35,0.0,top
J3,139.24,-99.35,0.0,top
J4,130.35,-123.24,90.0,top
R1,129.0,-82.74,270.0,top
R2,131.74,-82.67,270.0,top
R3,132.05,-97.81,270.0,top
R4,131.0,-97.82,270.0,top
R5,130.29,-108.66,180.0,top
R6,133.875,-91.0,180.0,top
R7,126.07,-93.72,180.0,top
SW1,133.4,-87.6,270.0,top
U1,130.35,-103.35,90.0,top
U2,127.9,-85.4,270.0,top
U4,127.15,-95.675,0.0,top
Y1,129.5,-110.98,180.0,top
